ID_Partido,Temporada,Jornada,Equipo_Bando,Equipo_Nombre,Jugador,Posicion,Minutos_jugados,Goles,Asistencias_de_gol,Asistencias_sin_gol,Balones_al_area,Tiros_a_puerta,Regates,Balones_recuperados,Despejes,Paradas,Goles_en_contra,Penaltis_provocados,Penaltis_cometidos,Penaltis_parados,Penaltis_fallados,Goles_en_propia_puerta,Amarillas,Rojas,Posesiones_perdidas,Nota_SofaScore
11369486,T23-24,J22,Local,Almería,Luís Maximiano,G,90,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,2,6.0
11369486,T23-24,J22,Local,Almería,Marc Pubill,D,90,0,0,0,0,1,0,9,1,0,0,0,0,0,0,0,0,0,21,6.5
11369486,T23-24,J22,Local,Almería,César Montes,D,90,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,13,6.7
11369486,T23-24,J22,Local,Almería,Chumi,D,90,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,5,6.7
11369486,T23-24,J22,Local,Almería,Sergio Akieme,D,56,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,11,6.5
11369486,T23-24,J22,Local,Almería,Dion Lopy,M,90,0,0,1,2,0,0,4,2,0,0,0,0,0,0,0,0,0,14,6.9
11369486,T23-24,J22,Local,Almería,Edgar González,M,56,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,9,6.7
11369486,T23-24,J22,Local,Almería,Sergio Arribas,M,79,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,12,7.5
11369486,T23-24,J22,Local,Almería,Lucas Robertone,M,90,0,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,15,6.9
11369486,T23-24,J22,Local,Almería,Adrián Embarba,M,75,0,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,15,6.8
11369486,T23-24,J22,Local,Almería,Léo Baptistão,F,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,6.6
11369486,T23-24,J22,Local,Almería,Álex Centelles,D,34,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,6,6.7
11369486,T23-24,J22,Local,Almería,Gonzalo Melero,M,34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6.4
11369486,T23-24,J22,Local,Almería,Marko Milovanović,F,34,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.7
11369486,T23-24,J22,Local,Almería,Lázaro,F,15,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,6.5
11369486,T23-24,J22,Local,Almería,Luka Romero,F,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.6
11369486,T23-24,J22,Visitante,Deportivo Alavés,Antonio Sivera,G,90,0,0,0,0,0,0,5,5,7,0,0,0,0,0,0,0,0,16,8.8
11369486,T23-24,J22,Visitante,Deportivo Alavés,Andoni Gorosabel,D,78,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,9,6.8
11369486,T23-24,J22,Visitante,Deportivo Alavés,Rafa Marín,D,90,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,9,7.0
11369486,T23-24,J22,Visitante,Deportivo Alavés,Rubén Duarte,D,90,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,5,7.5
11369486,T23-24,J22,Visitante,Deportivo Alavés,Javi López,D,90,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,17,6.6
11369486,T23-24,J22,Visitante,Deportivo Alavés,Antonio Blanco,M,90,0,0,1,1,0,0,7,1,0,0,0,0,0,0,0,0,0,11,6.9
11369486,T23-24,J22,Visitante,Deportivo Alavés,Ander Guevara,M,90,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,10,6.4
11369486,T23-24,J22,Visitante,Deportivo Alavés,Carlos Vicente,M,89,0,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,16,7.0
11369486,T23-24,J22,Visitante,Deportivo Alavés,Jon Guridi,M,62,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,10,6.7
11369486,T23-24,J22,Visitante,Deportivo Alavés,Luis Rioja,M,78,1,0,2,3,1,0,3,0,0,0,0,0,0,0,0,0,0,10,7.6
11369486,T23-24,J22,Visitante,Deportivo Alavés,Samu Aghehowa,F,89,2,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,13,8.7
11369486,T23-24,J22,Visitante,Deportivo Alavés,Carlos Benavídez,M,28,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,7.3
11369486,T23-24,J22,Visitante,Deportivo Alavés,Álex Sola,D,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.3
11369486,T23-24,J22,Visitante,Deportivo Alavés,Nahuel Tenaglia,D,12,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,6.6
11369486,T23-24,J22,Visitante,Deportivo Alavés,Victor Parada,D,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.6
11369486,T23-24,J22,Visitante,Deportivo Alavés,Giuliano Simeone,F,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5
11369485,T23-24,J22,Local,Real Sociedad,Álex Remiro,G,90,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,6.7
11369485,T23-24,J22,Local,Real Sociedad,Jon Aramburu,D,90,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,17,7.4
11369485,T23-24,J22,Local,Real Sociedad,Igor Zubeldia,D,62,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,6,7.2
11369485,T23-24,J22,Local,Real Sociedad,Robin Le Normand,D,83,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,14,7.5
11369485,T23-24,J22,Local,Real Sociedad,Jon Pacheco,D,90,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,17,7.2
11369485,T23-24,J22,Local,Real Sociedad,Javi Galán,D,90,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,17,6.9
11369485,T23-24,J22,Local,Real Sociedad,Arsen Zakharyan,M,29,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,6.6
11369485,T23-24,J22,Local,Real Sociedad,Martín Zubimendi,M,90,0,0,0,0,1,0,5,3,0,0,0,0,0,0,0,0,0,12,7.2
11369485,T23-24,J22,Local,Real Sociedad,Beñat Turrientes,M,90,0,0,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,10,6.9
11369485,T23-24,J22,Local,Real Sociedad,Umar Sadiq,F,62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6.4
11369485,T23-24,J22,Local,Real Sociedad,André Silva,F,62,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,7,6.7
11369485,T23-24,J22,Local,Real Sociedad,Brais Méndez,M,61,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,16,6.9
11369485,T23-24,J22,Local,Real Sociedad,Urko González,D,28,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,6.5
