Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20424,2025/26,36,Barcelona,Defensa,5.0,30,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20430,2025/26,36,Real Madrid,Defensa,20.0,23,ES,50%,Sano,26,2,2,0,5,1,-1,162,6.2,0,0,0
Aarón,Aarón,20430,2025/26,36,Real Oviedo,Portero,27.0,30,ES,95%,Sano,35,0,1,2,3,0,1.6,252,7.2,11,4,10
Abde,Ez Abde,20429,2025/26,36,Betis,Delantero,31.0,24,MA,80%,Sano,26,9,8,0,3,0,2.3,203,7.8,10,15,6
Abdon,Abdón,20426,2025/26,36,Mallorca,Delantero,3.0,33,ES,20%,Sano,12,0,0,0,0,0,1,17,1.4,0,0,1
Abed,Huseini,20423,2025/26,36,Levante,Defensa,2.0,21,IL,0%,Sano,6,0,0,0,0,0,-1,0,0,N/A,0,N/A
Abel Ruiz,Abel Ruiz,20427,2025/26,36,Girona,Delantero,4.0,26,ES,40%,Sano,9,0,0,0,0,0,-1,18,2,0,0,0
Abqar,A. abqar,20426,2025/26,36,Getafe,Defensa,8.0,27,MA,0%,Sano,21,0,2,0,10,1,0.8,72,3.4,6,-1,2
Adam Boayar,Adam B.,20429,2025/26,36,Elche,Mediocampista,4.0,20,MA,0%,Lesionado/Duda,7,1,0,0,0,0,-1,19,2.7,0,0,0
Adams,Akor,20432,2025/26,36,Sevilla,Delantero,9.0,26,NG,50%,Sano,29,9,3,0,3,0,1.9,128,4.4,6,0,2
Adrián,Adrián,20429,2025/26,36,Betis,Portero,2.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20429,2025/26,36,Elche,Defensa,9.0,25,AT,80%,Sano,33,1,1,0,6,1,1,150,4.5,7,1,6
Agirrezabala,Agirrezabala,20431,2025/26,36,Valencia,Portero,17.0,25,ES,10%,Sano,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20432,2025/26,36,Sevilla,Mediocampista,9.0,24,FR,80%,Sano,31,1,2,0,11,0,0.8,121,3.9,4,7,4
