Equipo,Racha,PTS,PJ,PG,PE,PP,GF,GC,DG
FC Barcelona,VVVVV,91,35,30,1,4,91,31,+60
Real Madrid,EVEVD,77,35,24,5,6,70,33,+37
Villarreal,VEVVE,69,35,21,6,8,65,40,+25
Atlético de Madrid,DDVVD,63,35,19,6,10,58,38,+20
Real Betis,EVEVE,54,35,13,15,7,54,43,+11
Celta,DDDVV,50,35,13,11,11,49,44,+5
Getafe,DVDDE,45,35,13,6,16,28,36,-8
Real Sociedad,EDEDE,44,35,11,11,13,54,55,-1
Athletic,DVDVD,44,35,13,5,17,40,51,-11
Rayo Vallecano,DVEVE,43,35,10,13,12,36,42,-6
Osasuna,EDVDD,42,35,11,9,15,42,45,-3
Valencia,DEVDV,42,35,11,9,15,38,50,-12
Sevilla,VDDVV,40,35,11,7,17,43,56,-13
Elche,VVVDE,39,35,9,12,14,46,54,-8
Mallorca,VEDVE,39,35,10,9,16,43,52,-9
Espanyol,DDEDD,39,35,10,9,16,38,53,-15
Girona FC,EDDDE,39,35,9,12,14,37,52,-15
Deportivo Alavés,EDVDE,37,35,9,10,16,41,54,-13
Levante,VVEDV,36,35,9,9,17,41,57,-16
Real Oviedo,VEDDE,29,35,6,11,18,26,54,-28
