ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20423,2025/26,36,Celta,1,Giráldez,40%,40%,76.4%
20423,2025/26,36,Levante,0,Luis Castro,40%,40%,84.7%
20429,2025/26,36,Betis,1,Manuel Pellegrini,60%,60%,87.9%
20429,2025/26,36,Elche,0,Éder Sarabia,20%,40%,82.7%
20428,2025/26,36,Osasuna,1,Alessio Lisci,40%,60%,92.6%
20428,2025/26,36,Atlético,0,Simeone,60%,40%,86.4%
20425,2025/26,36,Espanyol,1,Manolo González,20%,40%,84.6%
20425,2025/26,36,Athletic,0,Valverde,80%,40%,87.0%
20432,2025/26,36,Villarreal,1,Marcelino,80%,40%,84.5%
20432,2025/26,36,Sevilla,0,Luis García,40%,40%,83.2%
20424,2025/26,36,Alavés,1,Quique,20%,60%,90.3%
20424,2025/26,36,Barcelona,0,Flick,60%,40%,87.5%
20426,2025/26,36,Getafe,1,Pepe Bordalás,20%,60%,92.2%
20426,2025/26,36,Mallorca,0,Demichelis,20%,60%,79.4%
20431,2025/26,36,Valencia,1,Corberán,40%,60%,94.8%
20431,2025/26,36,Rayo,0,Íñigo Pérez,100%,40%,86.8%
20427,2025/26,36,Girona,1,Míchel,20%,40%,92.5%
20427,2025/26,36,Real Sociedad,0,Matarazzo,40%,40%,84.8%
20430,2025/26,36,Real Madrid,1,Arbeloa,60%,40%,87.7%
20430,2025/26,36,Real Oviedo,0,Almada,20%,60%,93.1%
