Jugador_FutFantasy,Jugador_Fantasy,ID_Partido,Temporada,Jornada,Equipo,Posicion,Precio_Fantastica,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
A. Christensen,Christensen,20333,2025/26,27,Barcelona,Defensa,5.0,29,DK,0%,Lesionado/Duda,12,0,0,0,1,0,-1,29,2.4,0,0,0
A. F. Carreras,Á. Carreras,20335,2025/26,27,Real Madrid,Defensa,19.0,22,ES,0%,Sano,23,2,2,0,5,1,1.3,154,6.7,2,3,9
A. Riquelme,A. Riquelme,20337,2025/26,27,Getafe,Mediocampista,1.0,2026,N/A,N/A,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Aarón,Aarón,20336,2025/26,27,Real Oviedo,Portero,21.0,30,ES,95%,Sano,26,0,0,2,2,0,1,180,6.9,3,2,3
Abde,Ez Abde,20337,2025/26,27,Betis,Delantero,24.0,24,MA,90%,Sano,17,5,5,0,2,0,2,135,7.9,10,6,10
Abdon,Abdón,20339,2025/26,27,Mallorca,Delantero,3.0,33,ES,5%,Sano,10,0,0,0,0,0,-1,15,1.5,2,0,0
Abel Ruiz,Abel Ruiz,20338,2025/26,27,Girona,Delantero,3.0,26,ES,10%,Sano,4,0,0,0,0,0,1,6,1.5,2,0,0
Abqar,A. abqar,20337,2025/26,27,Getafe,Defensa,8.0,26,MA,50%,Sano,14,0,1,0,6,0,1,49,3.5,1,3,3
Adam Boayar,Adam B.,20342,2025/26,27,Elche,Mediocampista,4.0,20,MA,10%,Sano,7,1,0,0,0,0,-1,19,2.7,0,2,0
Adams,Akor,20340,2025/26,27,Sevilla,Delantero,11.0,26,NG,70%,Sano,21,6,3,0,1,0,1.7,97,4.6,2,8,3
Adrián,Adrián,20337,2025/26,27,Betis,Portero,1.0,39,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
Affengruber,Affengruber,20342,2025/26,27,Elche,Defensa,11.0,24,AT,80%,Sano,24,0,0,0,5,1,1.6,100,4.2,4,2,0
Agirrezabala,Agirrezabala,20341,2025/26,27,Valencia,Portero,15.0,25,ES,0%,Lesionado/Duda,18,0,0,1,1,0,-1,104,5.8,0,0,0
Agoume,Agoumé,20340,2025/26,27,Sevilla,Mediocampista,11.0,24,FR,80%,Sano,23,1,2,0,9,0,1.4,95,4.1,4,6,3
Aguado,M. Aguado,20342,2025/26,27,Elche,Mediocampista,10.0,26,ES,70%,Sano,25,1,1,0,2,0,1.4,101,4,8,4,5
Ahijado,Lucas,20336,2025/26,27,Real Oviedo,Defensa,8.0,31,ES,30%,Sano,15,0,1,0,2,0,1,42,2.8,0,1,0
Aidoo,Aidoo Jr,20335,2025/26,27,Celta,Defensa,7.0,30,GH,30%,Sano,5,0,0,0,0,0,1.5,26,5.2,6,11,0
Aihen,Aihen,20334,2025/26,27,Real Sociedad,Defensa,6.0,28,ES,30%,Sano,16,0,0,0,1,0,1,29,1.8,0,0,-3
