ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3
20313,2025/26,25,Visitante,John C.,Desconocido,25,ES,30%,Sano,14,1,0,0,2,0,0.7,31,2.2,2,-1,0
20313,2025/26,25,Visitante,Rafa Mir,Desconocido,28,ES,20%,Sano,19,6,0,0,1,0,-1,92,4.8,1,0,0
20313,2025/26,25,Visitante,Villar,Desconocido,27,ES,20%,Sano,1,0,0,0,1,0,1,0,0,0,0,0
20313,2025/26,25,Visitante,Sangaré,Desconocido,18,ES,20%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20313,2025/26,25,Visitante,Adam Boayar,Desconocido,20,MA,10%,Sano,6,1,0,0,0,0,1,17,2.8,0,0,2
20313,2025/26,25,Visitante,Santiago,Desconocido,22,ES,10%,Sano,8,0,0,0,1,0,-1,19,2.4,2,0,0
20313,2025/26,25,Visitante,Redondo,Desconocido,23,AR,5%,Sano,7,0,0,0,0,1,0.5,11,1.6,0,0,1
20313,2025/26,25,Visitante,Iturbe,Desconocido,22,ES,0%,Sano,0,0,0,0,0,0,-1,0,0,0,0,0
20313,2025/26,25,Visitante,Josan,Desconocido,36,ES,0%,Sano,12,0,2,0,2,0,-1,48,4,0,0,0
20313,2025/26,25,Visitante,Diangana,Desconocido,27,CD,0%,Lesionado/Duda,13,1,0,0,2,0,1.3,31,2.4,0,0,2
20313,2025/26,25,Visitante,Fort,Desconocido,19,ES,0%,Lesionado/Duda,9,1,2,0,0,0,-1,36,4,0,0,0
20321,2025/26,25,Local,Remiro,Portero,30,ES,95%,Sano,24,0,0,0,0,0,1.5,119,5,-1,5,7
20321,2025/26,25,Local,Carlos Soler,Desconocido,29,ES,50%,Lesionado/Duda,20,2,2,0,2,1,1.3,101,5.1,3,3,9
20321,2025/26,25,Local,Guedes,Desconocido,29,PT,90%,Sano,24,6,3,0,1,0,1.7,138,5.8,3,7,15
20321,2025/26,25,Local,Aramburu,Desconocido,23,VE,80%,Sano,22,1,0,0,7,0,1.2,50,2.3,-6,2,3
20321,2025/26,25,Local,Gorrotxategi,Desconocido,24,ES,80%,Sano,22,1,3,0,5,0,1.3,101,4.6,2,10,8
20321,2025/26,25,Local,Marín,Desconocido,22,ES,70%,Sano,21,0,0,0,1,0,1.4,47,2.2,0,3,5
20321,2025/26,25,Local,Turrientes,Desconocido,24,ES,60%,Sano,15,0,1,0,4,0,1.2,45,3,1,7,3
20321,2025/26,25,Local,Jon Martín,Desconocido,19,ES,60%,Sano,15,0,0,0,4,0,2,57,3.8,2,0,7
