ID_Partido,Temporada,Jornada,Equipo,Es_Local,Entrenador,Rotaciones,Previsibilidad_Jornada,Previsibilidad_Temporada
20313,2025/26,25,Local,1,Valverde,20%,60%,87.1%
20313,2025/26,25,Visitante,0,Éder Sarabia,20%,60%,80.8%
20321,2025/26,25,Local,1,Matarazzo,20%,60%,84.7%
20321,2025/26,25,Visitante,0,Almada,20%,60%,96.5%
20320,2025/26,25,Local,1,Manuel Pellegrini,20%,60%,89.6%
20320,2025/26,25,Visitante,0,Íñigo Pérez,20%,60%,89.4%
20319,2025/26,25,Local,1,Alessio Lisci,20%,80%,90.5%
20319,2025/26,25,Visitante,0,Arbeloa,60%,40%,87.6%
20314,2025/26,25,Local,1,Simeone,80%,40%,89.2%
20314,2025/26,25,Visitante,0,Manolo González,20%,60%,87.6%
20318,2025/26,25,Local,1,Pepe Bordalás,20%,80%,93.3%
20318,2025/26,25,Visitante,0,Almeyda,20%,80%,86.5%
20315,2025/26,25,Local,1,Flick,20%,60%,88.4%
20315,2025/26,25,Visitante,0,Luis Castro,80%,60%,88.4%
20316,2025/26,25,Local,1,Giráldez,80%,40%,75.5%
20316,2025/26,25,Visitante,0,Arrasate,20%,60%,90.5%
20322,2025/26,25,Local,1,Marcelino,60%,60%,83.6%
20322,2025/26,25,Visitante,0,Corberán,20%,60%,95.5%
20317,2025/26,25,Local,1,Eduardo Coudet,20%,60%,88.2%
20317,2025/26,25,Visitante,0,Míchel,20%,80%,91.7%
