ID_Partido,Temporada,Jornada,Equipo,Nombre,Posicion,Edad,Nacionalidad,Probabilidad_Jugar,Estado_Medico,Partidos_Jugados,Goles,Asistencias,Penaltis_Parados,Tarjetas_Amarillas,Tarjetas_Rojas,Estado_Forma,Puntos_Totales,Media_Puntos,Puntos_Ultima_Jornada,Puntos_Jornada_Ant_2,Puntos_Jornada_Ant_3,Precio_Fantastica,Puntos_PFSY
20313,2025/26,25,Athletic,Unai Simón,Portero,28,ES,95%,Sano,24.0,0.0,0.0,1.0,0.0,0.0,1.4,138,5.8,4.0,2,6.0,16.0,143.0
20313,2025/26,25,Athletic,Serrano,Desconocido,22,ES,50%,Sano,11.0,1.0,0.0,0.0,0.0,0.0,1.6,35,3.2,3.0,13,0.0,5.0,35.0
20313,2025/26,25,Athletic,Vivian,Desconocido,26,ES,50%,Sano,19.0,0.0,0.0,0.0,6.0,1.0,-1.0,75,3.9,0.0,0,0.0,11.0,81.0
20313,2025/26,25,Athletic,Vesga,Desconocido,32,ES,40%,Sano,14.0,0.0,0.0,0.0,0.0,0.0,1.0,28,2.0,2.0,0,0.0,4.0,30.0
20313,2025/26,25,Athletic,Areso,Desconocido,26,ES,30%,Sano,20.0,0.0,1.0,0.0,3.0,0.0,1.0,70,3.5,3.0,0,3.0,10.0,72.0
20313,2025/26,25,Athletic,Boiro,Desconocido,23,ES,30%,Sano,8.0,0.0,0.0,0.0,1.0,0.0,1.3,15,1.9,0.0,0,4.0,5.0,15.0
20313,2025/26,25,Athletic,Lekue,Desconocido,32,ES,30%,Sano,7.0,0.0,0.0,0.0,1.0,2.0,1.0,14,2.0,0.0,2,0.0,5.0,13.0
20313,2025/26,25,Athletic,Unai Gómez,Desconocido,22,ES,20%,Sano,16.0,1.0,1.0,0.0,0.0,0.0,1.0,33,2.1,2.0,0,3.0,5.0,33.0
20313,2025/26,25,Athletic,Izeta,Desconocido,26,ES,10%,Sano,9.0,0.0,0.0,0.0,2.0,0.0,1.5,12,1.3,0.0,0,0.0,3.0,14.0
20313,2025/26,25,Athletic,Selton,Desconocido,19,ES,10%,Sano,5.0,0.0,1.0,0.0,0.0,0.0,1.0,13,2.6,0.0,5,0.0,4.0,13.0
20313,2025/26,25,Athletic,Padilla,Desconocido,22,MX,5%,Sano,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-3,0.0,0.0,0,0.0,1.0,-3.0
20313,2025/26,25,Athletic,Jauregizar,Desconocido,22,ES,0%,Lesionado/Duda,24.0,2.0,0.0,0.0,2.0,0.0,1.7,118,4.9,11.0,5,4.0,13.0,118.0
20313,2025/26,25,Athletic,N. Williams,Desconocido,23,ES,0%,Lesionado/Duda,19.0,4.0,2.0,0.0,1.0,0.0,1.6,121,6.4,0.0,7,4.0,18.0,121.0
20313,2025/26,25,Athletic,Berenguer,Desconocido,30,ES,0%,Lesionado/Duda,20.0,2.0,2.0,0.0,3.0,0.0,1.0,107,5.4,0.0,0,3.0,15.0,107.0
20313,2025/26,25,Athletic,Sannadi,Desconocido,25,MA,0%,Lesionado/Duda,8.0,1.0,0.0,0.0,1.0,0.0,-1.0,17,2.1,0.0,0,0.0,4.0,17.0
20313,2025/26,25,Athletic,Prados,Desconocido,25,ES,0%,Lesionado/Duda,2.0,0.0,0.0,0.0,1.0,0.0,-1.0,6,3.0,0.0,0,0.0,4.0,6.0
20313,2025/26,25,Athletic,Egiluz,Desconocido,23,ES,0%,Lesionado/Duda,,,,,,,-1.0,0,0.0,0.0,0,0.0,,
20313,2025/26,25,Athletic,Yeray,Desconocido,31,ES,0%,Lesionado/Duda,,,,,,,-1.0,0,0.0,0.0,0,0.0,,
20314,2025/26,25,Atlético,M. Llorente,Desconocido,31,ES,50%,Sano,20.0,0.0,3.0,0.0,4.0,0.0,1.0,124,6.2,0.0,3,2.0,18.0,124.0
20314,2025/26,25,Atlético,Le Normand,Desconocido,29,ES,50%,Sano,18.0,1.0,0.0,0.0,2.0,0.0,0.8,79,4.4,3.0,3,12.0,10.0,79.0
20314,2025/26,25,Atlético,Baena,Desconocido,24,ES,70%,Sano,16.0,2.0,1.0,0.0,3.0,0.0,0.5,83,5.2,1.0,1,4.0,10.0,83.0
20314,2025/26,25,Atlético,Giuliano,Desconocido,23,AR,50%,Sano,21.0,2.0,5.0,0.0,1.0,0.0,0.5,125,6.0,0.0,2,0.0,17.0,125.0
20314,2025/26,25,Atlético,Oblak,Portero,33,SI,95%,Sano,23.0,0.0,0.0,0.0,0.0,0.0,1.0,164,7.1,7.0,7,10.0,23.0,164.0
20314,2025/26,25,Atlético,Cardoso,Desconocido,24,US,70%,Sano,9.0,0.0,0.0,0.0,4.0,0.0,0.4,30,3.3,0.0,0,6.0,7.0,30.0
20314,2025/26,25,Atlético,Giménez,Desconocido,31,UY,70%,Sano,10.0,0.0,0.0,0.0,3.0,0.0,1.0,56,5.6,3.0,6,0.0,10.0,56.0
20314,2025/26,25,Atlético,Sörloth,Desconocido,30,NO,70%,Sano,23.0,7.0,0.0,0.0,3.0,1.0,0.6,95,4.1,1.0,3,2.0,10.0,95.0
20314,2025/26,25,Atlético,Almada,Desconocido,24,AR,70%,Sano,16.0,3.0,1.0,0.0,1.0,0.0,0.5,83,5.2,4.0,2,4.0,9.0,83.0
