Nombre,Precio_Fantastica,Equipo,Posicion,Puntos_PFSY
A. Abqar,8.0,Getafe,Defensa,72
A. Arcos,0.25,Celta,Mediocampista,0
A. Batalla,20.0,Rayo,Portero,198
A. Castrín,9.0,Sevilla,Defensa,79
A. Fores,4.0,Real Oviedo,Delantero,30
A. Fortuño,2.0,Espanyol,Portero,0
A. Iturbe,2.0,Elche,Portero,0
A. J Morales DE,5.0,Levante,Delantero,53
A. Liso,8.0,Getafe,Delantero,80
A. Martinez,0.3,Elche,Mediocampista,0
A. Moleiro,19.0,Villarreal,Mediocampista,203
A. Mumin,3.0,Rayo,Defensa,1
A. Osambela,4.0,Osasuna,Mediocampista,33
A. Pedraza,9.0,Villarreal,Defensa,100
A. Primo UUSuIB,2.0,Levante,Portero,0
A. Rahim,8.0,Real Oviedo,Defensa,65
A. Rebbach,8.0,Alavés,Delantero,94
A. Reina,9.0,Real Oviedo,Mediocampista,146
A. Riquelme,2.0,Getafe,Mediocampista,0
A. Roca,3.0,Espanyol,Mediocampista,15
Aarón,27.0,Real Oviedo,Portero,252
Abdón,3.0,Mallorca,Delantero,17
Abel Bretones,8.0,Osasuna,Defensa,85
Abel Ruiz,4.0,Girona,Delantero,18
Adam B.,4.0,Elche,Mediocampista,19
Adama,5.0,Athletic,Defensa,23
Adrián,2.0,Betis,Portero,0
Adrián DE,0.2,Athletic,Delantero,0
Adrián Molina,2.0,Rayo,Portero,0
Affengruber,9.0,Elche,Defensa,150
Agirrezabala,17.0,Valencia,Portero,104
Agoumé,9.0,Sevilla,Mediocampista,121
D,2.0,Real Oviedo,Delantero,2
Aguirre,2.0,Real Sociedad,Mediocampista,1
Aidoo Jr,6.0,Celta,Defensa,26
Aihen,5.0,Real Sociedad,Defensa,35
Aimar,9.0,Osasuna,Mediocampista,113
Aimar Blázquez DE,2.0,Valencia,Delantero,0
Aitor Fdez,6.0,Osasuna,Portero,6
Aitor Ruibal,10.0,Betis,Delantero,128
Akor DE,9.0,Sevilla,Delantero,128
Alaba,4.0,Real Madrid,Defensa,19
Alan Matturro,7.0,Levante,Defensa,66
Alassane,2.0,Villarreal,Mediocampista,0
Albert,2.0,Elche,Defensa,0
Alberto F.,2.0,Sevilla,Portero,0
Alemo,7.0,Rayo,Delantero,64
Alex Costa D,2.0,Sevilla,Delantero,0
Alex Marchal,0.3,Real Sociedad,Mediocampista,0
Alex Moreno,9.0,Girona,Defensa,107
Alexis Sánchez DE,8.0,Sevilla,Delantero,89
Aleñá,9.0,Alavés,Mediocampista,127
Alfon,6.0,Villarreal,Delantero,58
Almada,9.0,Atlético,Mediocampista,107
Almeida,8.0,Valencia,Mediocampista,82
Altimira,8.0,Betis,Mediocampista,91
Amrabat,8.0,Betis,Mediocampista,58
Andreev,2.0,Girona,Portero,0
André Silva D,12.0,Elche,Delantero,138
Antañón,3.0,Celta,Mediocampista,1
Antonio Sánchez,6.0,Mallorca,Mediocampista,56
Antony,22.0,Betis,Delantero,189
Arambarri,14.0,Getafe,Mediocampista,178
Aramburu,8.0,Real Sociedad,Defensa,76
Arango,4.0,Girona,Delantero,3
Arda Gler,27.0,Real Madrid,Mediocampista,233
Areso,8.0,Athletic,Defensa,77
Arguibide,4.0,Osasuna,Defensa,17
Aritz,5.0,Real Sociedad,Defensa,27
Arnau,13.0,Girona,Defensa,166
Arnau Tenas,7.0,Villarreal,Portero,36
Arriaga,8.0,Levante,Mediocampista,87
Asano,5.0,Mallorca,Delantero,35
Asencio,10.0,Real Madrid,Defensa,99
Asier Hierro Clp,3.0,Athletic,Delantero,2
Astiazaran,0.25,Real Sociedad,Mediocampista,0
Ayoze,7.0,Villarreal,Delantero,80
Azpilicueta,7.0,Sevilla,Defensa,51
B. Iglesias,14.0,Celta,Delantero,169
B. Mayoral D,8.0,Getafe,Delantero,71
B. Sangare,5.0,Elche,Defensa,18
Bakambu,6.0,Betis,Delantero,54
Ballestero,2.0,Alavés,Defensa,1
Balliu,4.0,Rayo,Defensa,23
Bardghji,6.0,Barcelona,Delantero,65
Barrenetxea,13.0,Real Sociedad,Mediocampista,148
Barrios,16.0,Atlético,Mediocampista,128
Barry,0.3,Villarreal,Mediocampista,0
Bartra,16.0,Betis,Defensa,140
Becerra,3.0,Rayo,Mediocampista,5
Beitia,2.0,Real Sociedad,Defensa,1
Bellerín,11.0,Betis,Defensa,116
Bellingham,24.0,Real Madrid,Mediocampista,168
Bema Sina,0.3,Elche,Defensa,0
Berenguer,11.0,Athletic,Delantero,141
Bergstrom,8.0,Mallorca,Portero,36
Birma,3.0,Getafe,Delantero,9
Bladi,0.35,Betis,Defensa,0
Blanco,9.0,Alavés,Mediocampista,142
Boselli,5.0,Getafe,Defensa,28
Boyomo,9.0,Osasuna,Defensa,112
Brahim,8.0,Real Madrid,Mediocampista,112
Brais Méndez,10.0,Real Sociedad,Mediocampista,133
Bryan Gil,9.0,Girona,Delantero,101
Buchanan,9.0,Villarreal,Mediocampista,145
Bujan,0.25,Athletic,Delantero,0
Burcio,2.0,Celta,Mediocampista,0
C. Alvarez,9.0,Levante,Mediocampista,113
C. Dominguez,6.0,Celta,Defensa,24
C. Espí,8.0,Levante,Delantero,99
C. Rivero,2.0,Valencia,Portero,3
C. Romero,11.0,Espanyol,Defensa,158
C. Soler,17.0,Real Sociedad,Mediocampista,170
Cabanes,2.0,Villarreal,Delantero,0
Cabrera,9.0,Espanyol,Defensa,148
Calebe,6.0,Alavés,Mediocampista,52
Caleta-Car,9.0,Real Sociedad,Defensa,107
Camavinga,9.0,Real Madrid,Mediocampista,113
Camello,6.0,Rayo,Delantero,64
Cancelo,17.0,Barcelona,Defensa,103
Cardona,9.0,Villarreal,Defensa,120
Cardoso,6.0,Sevilla,Defensa,20
Carlos Maci,3.0,Villarreal,Mediocampista,5
Carlos Martín,4.0,Rayo,Mediocampista,17
Carmona,8.0,Sevilla,Defensa,92
Carreira,9.0,Celta,Defensa,116
Carvajal,7.0,Real Madrid,Defensa,47
Catena,15.0,Osasuna,Defensa,175
Cayetano,2.0,Levante,Portero,0
Cepeda D,6.0,Elche,Delantero,31
Cestero,3.0,Real Madrid,Mediocampista,2
Chavarría,9.0,Rayo,Defensa,139
Cheli,2.0,Real Oviedo,Mediocampista,0
Chimy Ávila DE,5.0,Betis,Delantero,33
Christensen,5.0,Barcelona,Defensa,29
Colombatto,8.0,Real Oviedo,Mediocampista,101
Comesaña,14.0,Villarreal,Mediocampista,170
Copete,9.0,Valencia,Defensa,76
Costa,2.0,Villarreal,Defensa,0
Courtois,21.0,Real Madrid,Portero,185
cucho,18.0,Betis,Delantero,177
Cuéllar,2.0,Mallorca,Portero,0
Cmert,11.0,Valencia,Defensa,83
D. Ceballos,5.0,Real Madrid,Mediocampista,45
D. Cárdenas,8.0,Rayo,Portero,22
D. Jiménez,5.0,Real Madrid,Defensa,8
D. Martínez,1.0,Atlético,Defensa,-1
D. Pérez,3.0,Betis,Mediocampista,2
Daley Blind,10.0,Girona,Defensa,146
Dani Calvo,12.0,Real Oviedo,Defensa,90
Dani Olmo,27.0,Barcelona,Mediocampista,217
Danjuma,9.0,Valencia,Delantero,126
Darder,14.0,Mallorca,Mediocampista,187
David Carmo,9.0,Real Oviedo,Defensa,95
David Costas,11.0,Real Oviedo,Defensa,111
David Delgado,2.0,Elche,Defensa,0
David López,3.0,Girona,Defensa,4
David López,6.0,Mallorca,Defensa,38
David Soria,23.0,Getafe,Portero,232
Davinchi,5.0,Getafe,Defensa,23
De Frutos,16.0,Rayo,Delantero,185
De Galarreta,9.0,Athletic,Mediocampista,137
De Las Sias,2.0,Rayo,Defensa,0
Dela,9.0,Levante,Defensa,130
Dendoncker,8.0,Real Oviedo,Mediocampista,61
Denis Suárez,8.0,Alavés,Mediocampista,85
Diabate,5.0,Alavés,Delantero,21
Diakhaby,7.0,Valencia,Defensa,38
Diego Aguado,3.0,Real Madrid,Defensa,2
Diego Conde,2.0,Villarreal,Portero,0
Diego López,8.0,Valencia,Delantero,99
Dieguito,0.25,Real Oviedo,Mediocampista,0
Dimitrievski,20.0,Valencia,Portero,106
Djene,9.0,Getafe,Defensa,139
Dmitrovic,17.0,Espanyol,Portero,200
Dolan,9.0,Espanyol,Delantero,140
Domingos Duar.,13.0,Getafe,Defensa,160
E. Bailly,9.0,Real Oviedo,Defensa,65
E. Milito,16.0,Real Madrid,Defensa,103
Echeverri,6.0,Girona,Mediocampista,46
Eder Aller,2.0,Barcelona,Portero,0
Eder García,3.0,Athletic,Mediocampista,2
Edu Altozano,2.0,Sevilla,Mediocampista,0
Edu Expósito,17.0,Espanyol,Mediocampista,189
Egiluz,2.0,Athletic,Defensa,0
Egoitz M.I.,2.0,Alavés,Defensa,0
Ejaria,4.0,Real Oviedo,Delantero,19
Ejuke DE,7.0,Sevilla,Delantero,103
El Hilali,8.0,Espanyol,Defensa,87
EI-Abdellaoui DE,6.0,Celta,Delantero,54
Elgezabal,7.0,Levante,Defensa,33
Eric,17.0,Barcelona,Defensa,186
Esquivel,2.0,Atlético,Portero,0
Etta Eyong DE,9.0,Levante,Delantero,130
Ez Abde,31.0,Betis,Delantero,203
F.Calero,9.0,Espanyol,Defensa,114
F.De Jong,16.0,Barcelona,Mediocampista,134
F.Garcés,7.0,Alavés,Defensa,43
F.Mastantuono,7.0,Real Madrid,Delantero,65
F Mendy,4.0,Real Madrid,Defensa,14
F. Viñas D,13.0,Real Oviedo,Delantero,160
Febas,12.0,Elche,Mediocampista,168
Fer López,7.0,Celta,Mediocampista,48
Fermín,27.0,Barcelona,Mediocampista,209
Ferran,21.0,Barcelona,Delantero,197
Ferran Jutgl D,9.0,Celta,Delantero,124
Ferrer,2.0,Getafe,Portero,0
Ferri,2.0,Espanyol,Mediocampista,0
Fidalgo,7.0,Betis,Mediocampista,33
Folgado,2.0,Real Sociedad,Portero,0
Fonseca,6.0,Real Oviedo,Mediocampista,38
Fontanet,2.0,Valencia,Defensa,0
Fornals,26.0,Betis,Mediocampista,247
Fortea,2.0,Real Madrid,Defensa,0
Foulquier,7.0,Valencia,Defensa,44
Foyth,8.0,Villarreal,Defensa,63
Fraga,2.0,Real Sociedad,Portero,0
Fran Beltrán,9.0,Girona,Mediocampista,92
Fran García,7.0,Real Madrid,Defensa,50
Fran González,2.0,Real Madrid,Portero,0
Fran Pérez,8.0,Rayo,Mediocampista,93
Franco Cervi,2.0,Celta,Delantero,0
Francés,7.0,Girona,Defensa,78
Freeman,5.0,Villarreal,Defensa,26
G. Villar,6.0,Elche,Mediocampista,30
Gattoni,2.0,Sevilla,Defensa,0
Gavi,5.0,Barcelona,Mediocampista,30
Gayá,9.0,Valencia,Defensa,131
Gazzaniga,17.0,Girona,Portero,185
Gerard,18.0,Villarreal,Delantero,129
Gerard Martín,13.0,Barcelona,Defensa,150
German V,18.0,Elche,Mediocampista,193
Germán,2.0,Betis,Portero,0
Gibi,2.0,Girona,Defensa,0
Giuliano,18.0,Atlético,Delantero,169
Gonzalo,6.0,Real Madrid,Delantero,78
Gorka Carrera,3.0,Real Sociedad,Delantero,2
Gorosabel,7.0,Athletic,Defensa,53
Gorrotxa,9.0,Real Sociedad,Mediocampista,114
Grady Diangana D,6.0,Elche,Delantero,39
Griezmann,9.0,Atlético,Delantero,146
Guedes,17.0,Real Sociedad,Mediocampista,176
Guevara,6.0,Alavés,Mediocampista,62
Gueye,17.0,Villarreal,Mediocampista,154
Guido Rodríguez,8.0,Valencia,Mediocampista,63
Guille Fernández,2.0,Barcelona,Mediocampista,0
Gumbau,7.0,Rayo,Mediocampista,72
Guridi,6.0,Alavés,Mediocampista,49
Guruzeta DE,11.0,Athletic,Delantero,156
H. González,3.0,Celta,Mediocampista,2
H. Rincón,8.0,Girona,Defensa,84
Hancko,10.0,Atlético,Defensa,127
Hassan,8.0,Real Oviedo,Mediocampista,120
Herrando,8.0,Osasuna,Defensa,85
Herrera,4.0,Real Sociedad,Mediocampista,12
Hugo Alvarez,8.0,Celta,Mediocampista,100
Hugo Duro,9.0,Valencia,Delantero,123
Hugo Lopez,3.0,Villarreal,Mediocampista,3
Hugo Sotelo,9.0,Celta,Mediocampista,83
Huijsen,19.0,Real Madrid,Defensa,159
Huseini,2.0,Levante,Defensa,0
Héctor Fort,6.0,Elche,Defensa,45
I. Akhomach,7.0,Rayo,Delantero,62
Benito,5.0,Osasuna,Delantero,20
I. Lekue,5.0,Athletic,Defensa,15
Romero,11.0,Levante,Delantero,139
lago Aspas,8.0,Celta,Delantero,131
Ibañez,9.0,Alavés,Mediocampista,122
Ibon Sánchez,0.2,Athletic,Delantero,0
Iker Losada,7.0,Levante,Delantero,66
Iker Muñoz,0.25,Sevilla,Defensa,0
Iker Muñoz,7.0,Osasuna,Mediocampista,54
Ilaix Moriba,8.0,Celta,Mediocampista,116
Ilic,6.0,Real Oviedo,Mediocampista,39
Ilyas,10.0,Real Oviedo,Delantero,156
lonut Radu,22.0,Celta,Portero,227
Isaac DE,8.0,Sevilla,Delantero,80
Isco,4.0,Betis,Mediocampista,15
Isi,9.0,Rayo,Delantero,139
Iván,3.0,Betis,Mediocampista,1
Iván Martín,9.0,Girona,Mediocampista,136
Iván Villar,2.0,Celta,Portero,0
Izei,0.25,Alavés,Mediocampista,0
Izeta,3.0,Athletic,Delantero,16
Iñaki Peña,21.0,Elche,Portero,102
Iñaki Williams D,9.0,Athletic,Delantero,105
J. Benito,2.0,Getafe,Portero,0
J. Boñar,7.0,Atlético,Defensa,17
J. Gaitán,0.25,Villarreal,Mediocampista,0
J. Ives Valou,2.0,Villarreal,Defensa,0
J. M. Giménez,11.0,Atlético,Defensa,89
J. Mojica,9.0,Mallorca,Defensa,131
J. Musso,8.0,Atlético,Portero,40
J. Vertrouwd,5.0,Rayo,Defensa,24
J. Vázquez,6.0,Valencia,Defensa,52
Jan Salas,3.0,Mallorca,Mediocampista,4
Jan Virgili,12.0,Mallorca,Delantero,133
Jandro,2.0,Mallorca,Mediocampista,0
Jano,3.0,Atlético,Mediocampista,4
Januzaj,4.0,Sevilla,Mediocampista,24
