Temporada,Jornada,Equipo_Nombre,Jugador_stats,Jugador_SofaScore,Stats_Reales,Puntos_Teoricos,Discrepancia
T23-24,J16,Barcelona,Jules Koundé,Jules Koundé,-2,7,-9
T23-24,J16,Barcelona,İlkay Gündoğan,İlkay Gündoğan,8,17,-9
T24-25,J38,Sevilla,Álvaro Fernández,Álvaro Fernández,0,9,-9
T24-25,J24,Real Betis,Ricardo Rodríguez,Ricardo Rodríguez,0,9,-9
T24-25,J38,Sevilla,José Ángel Carmona,José Ángel Carmona,-4,5,-9
T24-25,J38,Sevilla,Lucien Agoumé,Lucien Agoumé,3,12,-9
T23-24,J3,Rayo Vallecano,Iván Balliu,Iván Balliu,-6,3,-9
T24-25,J14,Real Betis,Rui Silva,Rui Silva,0,9,-9
T24-25,J25,Real Valladolid,Luis Pérez,Luis Pérez,-4,5,-9
T23-24,J37,Real Betis,Nabil Fekir,Nabil Fekir,0,9,-9
T23-24,J25,Villarreal,Alberto Moreno,Alberto Moreno,1,10,-9
T24-25,J36,Real Betis,Ricardo Rodríguez,Ricardo Rodríguez,0,9,-9
T23-24,J19,Getafe,Damián Suárez,Damián Suárez,-5,4,-9
T24-25,J36,Leganés,Adrià Altimira,Adrià Altimira,0,9,-9
T24-25,J36,Leganés,Yan Diomande,Yan Diomande,0,9,-9
T23-24,J19,Granada,Augusto Batalla,Augusto Batalla,0,9,-9
T23-24,J36,Celta Vigo,Hugo Álvarez,Hugo Álvarez,0,9,-9
T23-24,J19,Atlético Madrid,Mario Hermoso,Mario Hermoso,-1,8,-9
T24-25,J35,Getafe,Diego Rico,Diego Rico,-2,7,-9
T24-25,J29,Barcelona,Gerard Martín,Gerard Martín,0,9,-9
T23-24,J20,Cádiz,Luis Hernández,Luis Hernández,-4,5,-9
T23-24,J5,Granada,Ricard Sánchez,Ricard Sánchez,0,9,-9
T24-25,J6,Espanyol,Joan García,Joan García,2,11,-9
T24-25,J32,Villarreal,Sergi Cardona,Sergi Cardona,3,12,-9
T24-25,J4,Real Valladolid,Eray Cömert,Eray Cömert,-2,7,-9
T23-24,J21,Real Betis,Héctor Bellerín,Héctor Bellerín,0,9,-9
T24-25,J31,Girona FC,Daley Blind,Daley Blind,0,9,-9
T25-26,J11,Valencia,Julen Agirrezabala,Julen Agirrezabala,6,14,-8
T23-24,J10,Almería,Álex Centelles,Álex Centelles,-4,4,-8
T25-26,J23,Espanyol,Marko Dmitrović,Marko Dmitrović,-3,5,-8
T24-25,J1,Celta Vigo,Hugo Álvarez,Hugo Álvarez,0,8,-8
T24-25,J14,Espanyol,Joan García,Joan García,-1,7,-8
T23-24,J9,Osasuna,Sergio Herrera,Sergio Herrera,6,14,-8
T25-26,J21,Real Oviedo,Aarón Escandell,Aarón Escandell,2,10,-8
T23-24,J2,Celta Vigo,Iago Aspas,Iago Aspas,1,9,-8
T23-24,J6,Getafe,David Soria,David Soria,-1,7,-8
