Temporada,Jornada,Equipo_Nombre,Jugador_stats,Jugador_SofaScore,Stats_Reales,Puntos_Teoricos,Discrepancia
T25-26,J21,Levante UD,Pablo Martínez,Pablo Martínez,0,24,-24
T23-24,J22,Barcelona,İlkay Gündoğan,İlkay Gündoğan,0,22,-22
T23-24,J37,Real Madrid,Lucas Vázquez,Lucas Vázquez,0,21,-21
T24-25,J25,Athletic Club,Nico Williams,Nico Williams,0,20,-20
T23-24,J18,Barcelona,Raphinha,Raphinha,0,20,-20
T23-24,J2,Deportivo Alavés,Luis Rioja,Luis Rioja,0,19,-19
T24-25,J9,Girona FC,Paulo Gazzaniga,Paulo Gazzaniga,0,18,-18
T25-26,J14,Barcelona,Dani Olmo,Dani Olmo,2,20,-18
T25-26,J9,Real Betis,Antony,Antony,0,18,-18
T24-25,J12,Girona FC,Miguel Gutiérrez,Miguel Gutiérrez,0,18,-18
T24-25,J35,Barcelona,Raphinha,Raphinha,0,18,-18
T23-24,J33,Barcelona,Robert Lewandowski,Robert Lewandowski,0,17,-17
T25-26,J23,Athletic Club,Gorka Guruzeta,Gorka Guruzeta,0,17,-17
T23-24,J31,Almería,Adrián Embarba,Adrián Embarba,0,17,-17
T24-25,J34,Real Madrid,Arda Güler,Arda Güler,0,17,-17
T25-26,J10,Barcelona,Wojciech Szczęsny,Wojciech Szczęsny,0,17,-17
T24-25,J3,Villarreal,Sergi Cardona,Sergi Cardona,0,17,-17
T23-24,J16,Barcelona,İlkay Gündoğan,İlkay Gündoğan,0,17,-17
T23-24,J25,Athletic Club,Álex Berenguer,Álex Berenguer,0,17,-17
T23-24,J17,Real Madrid,Luka Modrić,Luka Modrić,1,18,-17
T23-24,J32,Real Madrid,Lucas Vázquez,Lucas Vázquez,1,18,-17
T24-25,J26,Real Betis,Isco,Isco,2,19,-17
T24-25,J24,Leganés,Dani Raba,Dani Raba,0,17,-17
T23-24,J33,Getafe,Mason Greenwood,Mason Greenwood,2,19,-17
T25-26,J14,Villarreal,Alberto Moleiro,Alberto Moleiro,0,16,-16
T23-24,J3,Athletic Club,Mikel Vesga,Mikel Vesga,0,16,-16
T23-24,J32,Valencia,Pepelu,Pepelu,0,16,-16
T23-24,J29,Real Madrid,Federico Valverde,Federico Valverde,1,17,-16
T24-25,J18,Real Madrid,Kylian Mbappé,Kylian Mbappé,0,16,-16
T23-24,J37,Mallorca,Sergi Darder,Sergi Darder,0,16,-16
T23-24,J4,Cádiz,Darwin Machís,Darwin Machís,0,16,-16
T24-25,J6,Real Madrid,Kylian Mbappé,Kylian Mbappé,3,19,-16
T24-25,J16,Osasuna,Rubén García,Rubén García,0,15,-15
T24-25,J7,Real Madrid,Lucas Vázquez,Lucas Vázquez,0,15,-15
T25-26,J16,Girona FC,Viktor Tsygankov,Viktor Tsygankov,3,18,-15
T23-24,J10,Girona FC,Aleix García,Aleix García,0,15,-15
T23-24,J35,Villarreal,Alexander Sørloth,Alexander Sørloth,0,15,-15
T24-25,J38,Real Sociedad,Unai Marrero,Unai Marrero,0,15,-15
T24-25,J20,Sevilla,Saúl Ñíguez,Saúl Ñíguez,1,16,-15
T25-26,J13,Real Madrid,Dean Huijsen,Dean Huijsen,0,15,-15
T23-24,J7,Sevilla,Suso,Suso,0,15,-15
T23-24,J8,Atlético Madrid,Ángel Correa,Ángel Correa,0,15,-15
T25-26,J7,Atlético Madrid,Julián Alvarez,Julián Alvarez,0,15,-15
T25-26,J7,Celta Vigo,Ionuț Radu,Ionuț Radu,0,15,-15
T23-24,J22,Villarreal,Alexander Sørloth,Alexander Sørloth,0,15,-15
T23-24,J3,Barcelona,Frenkie de Jong,Frenkie de Jong,0,15,-15
T23-24,J3,Villarreal,Alejandro Baena,Alejandro Baena,0,15,-15
T24-25,J37,Celta Vigo,Marcos Alonso,Marcos Alonso,0,15,-15
T23-24,J8,Granada,Ricard Sánchez,Ricard Sánchez,0,15,-15
T25-26,J13,Osasuna,Alejandro Catena,Alejandro Catena,0,15,-15
T23-24,J24,Granada,Facundo Pellistri,Facundo Pellistri,0,15,-15
T25-26,J25,Atlético Madrid,Matteo Ruggeri,Matteo Ruggeri,0,15,-15
T24-25,J31,Atlético Madrid,Julián Alvarez,Julián Alvarez,0,15,-15
T24-25,J3,Celta Vigo,Iván Villar,Iván Villar,0,15,-15
T24-25,J5,Barcelona,Lamine Yamal,Lamine Yamal,2,17,-15
T25-26,J27,Atlético Madrid,Matteo Ruggeri,Matteo Ruggeri,0,15,-15
T24-25,J5,Athletic Club,Iñaki Williams,Iñaki Williams,0,15,-15
T24-25,J23,Celta Vigo,Javi Rodríguez,Javi Rodríguez,0,14,-14
T24-25,J9,Mallorca,Antonio Raíllo,Antonio Raíllo,0,14,-14
T24-25,J3,Villarreal,Alejandro Baena,Alejandro Baena,0,14,-14
T23-24,J19,Girona FC,Daley Blind,Daley Blind,0,14,-14
T24-25,J35,Barcelona,Ferran Torres,Ferran Torres,0,14,-14
T24-25,J38,Leganés,Yan Diomande,Yan Diomande,0,14,-14
T23-24,J7,Mallorca,Vedat Muriqi,Vedat Muriqi,0,14,-14
T24-25,J19,Getafe,Coba da Costa,Coba da Costa,0,14,-14
T23-24,J20,Rayo Vallecano,Josep Chavarría,Josep Chavarría,0,14,-14
T24-25,J2,Valencia,Giorgi Mamardashvili,Giorgi Mamardashvili,0,14,-14
T25-26,J25,Deportivo Alavés,Victor Parada,Victor Parada,0,14,-14
T23-24,J2,Deportivo Alavés,Rubén Duarte,Rubén Duarte,0,14,-14
T25-26,J22,Barcelona,Lamine Yamal,Lamine Yamal,2,16,-14
T24-25,J20,Girona FC,Paulo Gazzaniga,Paulo Gazzaniga,0,14,-14
T23-24,J7,Sevilla,Erik Lamela,Erik Lamela,0,14,-14
T25-26,J16,Mallorca,Omar Mascarell,Omar Mascarell,0,14,-14
T23-24,J4,Real Sociedad,Brais Méndez,Brais Méndez,0,14,-14
T24-25,J15,Barcelona,Raphinha,Raphinha,0,14,-14
T23-24,J28,Real Sociedad,Robin Le Normand,Robin Le Normand,0,14,-14
T25-26,J20,Athletic Club,Unai Simón,Unai Simón,0,14,-14
T24-25,J28,Villarreal,Juan Foyth,Juan Foyth,0,14,-14
T24-25,J32,Villarreal,Yéremy Pino,Yéremy Pino,1,15,-14
T23-24,J11,Sevilla,Ivan Rakitić,Ivan Rakitić,0,14,-14
T23-24,J9,Osasuna,Sergio Herrera,Sergio Herrera,0,14,-14
T25-26,J10,Real Oviedo,David Carmo,David Carmo,0,14,-14
T23-24,J3,Villarreal,Alfonso Pedraza,Alfonso Pedraza,0,14,-14
T23-24,J37,Villarreal,Gerard Moreno,Gerard Moreno,0,14,-14
T24-25,J14,Villarreal,Alejandro Baena,Alejandro Baena,0,14,-14
T25-26,J11,Valencia,Julen Agirrezabala,Julen Agirrezabala,0,14,-14
T25-26,J5,Real Sociedad,Brais Méndez,Brais Méndez,0,14,-14
T24-25,J28,Real Betis,Isco,Isco,0,14,-14
T23-24,J2,Celta Vigo,Óscar Mingueza,Óscar Mingueza,0,14,-14
T24-25,J30,Mallorca,Martin Valjent,Martin Valjent,0,14,-14
T25-26,J23,Athletic Club,Nico Serrano,Nico Serrano,0,14,-14
T24-25,J30,Real Betis,Natan,Natan,1,15,-14
T23-24,J11,Granada,Bryan Zaragoza,Bryan Zaragoza,0,14,-14
T23-24,J11,Athletic Club,Óscar de Marcos,Óscar de Marcos,0,14,-14
T24-25,J16,Sevilla,Kike Salas,Kike Salas,0,14,-14
T25-26,J3,Barcelona,Lamine Yamal,Lamine Yamal,0,14,-14
T24-25,J5,Villarreal,Logan Costa,Logan Costa,1,14,-13
T24-25,J10,Real Valladolid,Mamadou Sylla,Mamadou Sylla,0,13,-13
T24-25,J4,Osasuna,Flavien Boyomo,Flavien Boyomo,0,13,-13
T24-25,J22,Villarreal,Sergi Cardona,Sergi Cardona,2,15,-13
T25-26,J2,Barcelona,Pedri,Pedri,0,13,-13
T25-26,J2,Levante UD,Pablo Cuñat,Pablo Cuñat,0,13,-13
T24-25,J31,Getafe,Omar Alderete,Omar Alderete,0,13,-13
T23-24,J34,Barcelona,Lamine Yamal,Lamine Yamal,0,13,-13
T24-25,J19,Celta Vigo,Borja Iglesias,Borja Iglesias,0,13,-13
T23-24,J30,Real Betis,Willian José,Willian José,0,13,-13
T23-24,J6,Real Madrid,Toni Kroos,Toni Kroos,0,13,-13
T23-24,J26,Mallorca,Matija Nastasić,Matija Nastasić,0,13,-13
T24-25,J21,Athletic Club,Álex Berenguer,Álex Berenguer,2,15,-13
T25-26,J9,Villarreal,Alberto Moleiro,Alberto Moleiro,0,13,-13
T24-25,J21,Real Sociedad,Takefusa Kubo,Takefusa Kubo,0,13,-13
T23-24,J13,Athletic Club,Unai Simón,Unai Simón,0,13,-13
T25-26,J21,Valencia,Eray Cömert,Eray Cömert,1,14,-13
T25-26,J25,Girona FC,Viktor Tsygankov,Viktor Tsygankov,0,13,-13
T24-25,J24,Real Madrid,Federico Valverde,Federico Valverde,0,13,-13
T25-26,J15,Barcelona,Roony Bardghji,Roony Bardghji,0,13,-13
T23-24,J5,Girona FC,Savinho,Savinho,0,13,-13
T23-24,J18,Mallorca,Antonio Raíllo,Antonio Raíllo,0,13,-13
T23-24,J20,Deportivo Alavés,Carlos Vicente,Carlos Vicente,0,13,-13
T24-25,J5,Villarreal,Alejandro Baena,Alejandro Baena,1,14,-13
T23-24,J6,Girona FC,Yangel Herrera,Yangel Herrera,0,13,-13
T23-24,J6,Girona FC,David López,David López,0,13,-13
T25-26,J10,Celta Vigo,Ferran Jutglà,Ferran Jutglà,0,13,-13
T23-24,J2,Barcelona,İlkay Gündoğan,İlkay Gündoğan,0,13,-13
T24-25,J3,Real Sociedad,Sergio Gómez,Sergio Gómez,0,13,-13
T23-24,J1,Villarreal,Alejandro Baena,Alejandro Baena,0,13,-13
T25-26,J7,Real Oviedo,Aarón Escandell,Aarón Escandell,0,13,-13
T24-25,J1,Sevilla,Juanlu Sánchez,Juanlu Sánchez,0,13,-13
T23-24,J22,Real Madrid,Toni Kroos,Toni Kroos,1,14,-13
T23-24,J27,Sevilla,Youssef En-Nesyri,Youssef En-Nesyri,0,13,-13
T23-24,J24,Getafe,Jaime Mata,Jaime Mata,0,13,-13
T23-24,J35,Villarreal,Alejandro Baena,Alejandro Baena,0,13,-13
T24-25,J30,Mallorca,Sergi Darder,Sergi Darder,0,13,-13
T23-24,J18,Villarreal,Dani Parejo,Dani Parejo,0,13,-13
T23-24,J28,Mallorca,Predrag Rajković,Predrag Rajković,3,16,-13
T25-26,J20,Osasuna,Ante Budimir,Ante Budimir,0,13,-13
T23-24,J4,Getafe,David Soria,David Soria,0,13,-13
T23-24,J21,Real Madrid,Jude Bellingham,Jude Bellingham,0,13,-13
T24-25,J30,Osasuna,Jorge Herrando,Jorge Herrando,0,13,-13
T23-24,J12,Osasuna,Ante Budimir,Ante Budimir,0,13,-13
T24-25,J14,Valencia,César Tárrega,César Tárrega,0,13,-13
T23-24,J27,Getafe,Diego Rico,Diego Rico,0,13,-13
T23-24,J35,Girona FC,Eric García,Eric García,0,13,-13
T23-24,J21,Almería,Edgar González,Edgar González,0,13,-13
T24-25,J18,Real Madrid,Rodrygo,Rodrygo,2,15,-13
T25-26,J13,Real Betis,Valentín Gómez,Valentín Gómez,0,13,-13
T24-25,J36,Mallorca,Martin Valjent,Martin Valjent,0,13,-13
T25-26,J6,Atlético Madrid,Marcos Llorente,Marcos Llorente,0,13,-13
T24-25,J37,Villarreal,Luiz Júnior,Luiz Júnior,0,13,-13
T23-24,J37,Almería,Sergio Arribas,Sergio Arribas,0,13,-13
T25-26,J24,Barcelona,Pau Cubarsí,Pau Cubarsí,0,13,-13
T25-26,J8,Barcelona,Marcus Rashford,Marcus Rashford,0,13,-13
T23-24,J12,Athletic Club,Nico Williams,Nico Williams,0,13,-13
T23-24,J16,Sevilla,Ivan Rakitić,Ivan Rakitić,0,13,-13
T23-24,J4,Celta Vigo,Manuel Sánchez,Manuel Sánchez,0,13,-13
T23-24,J27,Real Betis,Rui Silva,Rui Silva,0,13,-13
